user,session_count,total_events,unique_page_types,events_per_session
12123742388870046532u,1,6,2,6.0
12123918535598871225u,2,41,3,20.5
12124431288637971508u,3,10,1,3.3333333333333335
12125348177508697504u,4,10,1,2.5
12125357533400716624u,2,11,1,5.5
12128842246140589549u,4,7,1,1.75
12132547389424921705u,2,12,3,6.0
12133044252327381897u,3,14,1,4.666666666666667
12136175146667028855u,4,7,1,1.75
12137627390811160505u,2,12,1,6.0
12137995610173832614u,7,63,4,9.0
12138314162768286414u,1,9,3,9.0
12138644880364888470u,1,7,3,7.0
12138944339561602585u,1,7,2,7.0
12139283119903701029u,1,6,2,6.0
12140010637471050276u,1,10,2,10.0
12142159742864458927u,1,6,2,6.0
12142841459183679427u,3,10,1,3.3333333333333335
12146847502608979211u,4,19,4,4.75
12147643546743122363u,3,9,1,3.0
12148350395968808865u,1,6,2,6.0
12149044328643433804u,1,6,2,6.0
12152385384642213949u,1,6,3,6.0
12154404005936581829u,1,16,2,16.0
12154691934709339718u,1,12,2,12.0
12157096898033437442u,1,8,1,8.0
12158032272239054854u,1,8,2,8.0
12158506272799556014u,1,9,2,9.0
12158822663624737762u,1,7,2,7.0
12159582252766184020u,2,12,1,6.0
12160070718272714337u,1,21,3,21.0
12161063838149865152u,2,8,1,4.0
12163688321241631545u,1,6,1,6.0
12164587452643433604u,1,6,3,6.0
12165357840140232693u,1,21,3,21.0
12168290416640087350u,5,7,1,1.4
12168487477960081125u,1,8,2,8.0
12168939006030023354u,1,6,2,6.0
12169293381234652411u,1,7,2,7.0
1216963064493893634u,6,6,1,1.0
12170978347329680757u,1,7,1,7.0
12171211973232174635u,2,7,1,3.5
12173258314370413181u,1,7,1,7.0
1217325960141172377u,2,14,3,7.0
12173443648318359944u,1,6,3,6.0
12175071590559603009u,1,6,1,6.0
12176168512947004830u,9,13,1,1.4444444444444444
12176586208107384360u,1,51,2,51.0
1217745025340807989u,1,11,2,11.0
12179277389367448414u,1,6,2,6.0
12179879115563202972u,1,9,2,9.0
12181347323685972797u,3,28,2,9.333333333333334
12184268486094731775u,1,6,2,6.0
12189567994411441261u,1,6,2,6.0
1218978014818691763u,3,16,2,5.333333333333333
12189791239556472064u,4,8,1,2.0
12189891101615234267u,6,12,1,2.0
12190282727710672683u,5,27,3,5.4
12190352949815396629u,1,12,3,12.0
12191106826895423065u,1,6,3,6.0
12191313162884192478u,1,9,2,9.0
12191543885045831171u,2,6,1,3.0
12192603228763549791u,1,11,2,11.0
12194645578451273327u,3,7,1,2.3333333333333335
12194651092217674430u,1,7,3,7.0
1219643962362510888u,1,7,2,7.0
12201384979287306681u,1,6,2,6.0
12201441675999066897u,1,7,3,7.0
12201567846687742803u,1,11,2,11.0
12202068562440157812u,2,12,3,6.0
12203959787438802557u,7,7,1,1.0
12204382342901595799u,14,15,1,1.0714285714285714
12205064162072133220u,1,9,1,9.0
12205398963341231713u,1,16,2,16.0
12206098991323175470u,8,13,2,1.625
12206334975848765272u,9,23,1,2.5555555555555554
12206388185723773269u,3,20,3,6.666666666666667
12209869734848295120u,1,18,2,18.0
12212184675224037631u,1,10,2,10.0
12212258057410812068u,1,9,2,9.0
12216191792348994074u,1,9,2,9.0
1221756464044677118u,1,6,2,6.0
12218938370108252791u,3,12,3,4.0
12219111922330572907u,1,6,1,6.0
12220345587281266731u,1,11,2,11.0
12220715443098020868u,5,28,2,5.6
12220720931357346164u,3,6,1,2.0
12221641907994241525u,3,28,1,9.333333333333334
12223794276442692460u,7,20,2,2.857142857142857
12225346356580261449u,1,12,4,12.0
12225647942045579005u,1,12,3,12.0
12227514597208788960u,13,14,1,1.0769230769230769
12230337501596244151u,1,6,3,6.0
12230357409546861905u,1,21,3,21.0
12230658690492507356u,1,15,3,15.0
1223223973894102594u,1,21,2,21.0
12232367828607489260u,1,7,3,7.0
12234770262040912732u,2,19,2,9.5
12236280197765655118u,1,6,4,6.0
12238735715662074531u,1,6,3,6.0
12239891148301211670u,2,6,1,3.0
12240634910942681103u,1,8,4,8.0
12241724602493566121u,1,6,3,6.0
12242440538013663699u,4,40,4,10.0
1224264103395664685u,1,12,2,12.0
12246132142897626720u,1,11,3,11.0
12247452295715282444u,1,8,3,8.0
12247914951149348330u,1,12,2,12.0
12248652291438942893u,1,10,3,10.0
12249582663488337404u,1,20,2,20.0
12249899071194437698u,1,8,3,8.0
12250101370721690223u,1,11,1,11.0
12250912767979595896u,1,6,1,6.0
12251044812802847389u,7,7,1,1.0
12251549404900298515u,1,6,2,6.0
12251981521525851908u,2,8,1,4.0
12252195428315164017u,1,14,2,14.0
12252332068237839030u,1,11,2,11.0
12253581300662749573u,5,47,4,9.4
12254569484601264669u,6,6,1,1.0
12255013966466797311u,1,15,2,15.0
12255338550786081058u,4,6,1,1.5
12255756631569935914u,1,17,3,17.0
12258000054338064951u,1,11,2,11.0
1225909397198081015u,2,7,1,3.5
12260550469775671057u,1,6,2,6.0
12261323172818371624u,1,18,3,18.0
12263010530286331115u,1,19,3,19.0
1226332343822930285u,1,12,2,12.0
12263387003515698776u,1,10,4,10.0
12264521425974228600u,2,8,1,4.0
12264816330517608125u,1,7,2,7.0
12265983611881757238u,2,6,1,3.0
12267335410200993603u,5,6,1,1.2
12270250962940464172u,1,8,2,8.0
12271085690626735636u,1,7,2,7.0
12272875652239890214u,1,6,2,6.0
12273009569199947284u,6,6,1,1.0
12273560227422611634u,1,8,2,8.0
12275301900638629354u,1,7,1,7.0
12275719471766880739u,1,36,3,36.0
12275829488321422040u,1,6,2,6.0
12276407614776661602u,1,17,2,17.0
12277562842787196856u,1,8,1,8.0
12278948182206228235u,5,14,3,2.8
1228063404856294133u,1,7,3,7.0
12281124181749141575u,4,68,4,17.0
12286330312103326513u,1,7,4,7.0
12288165071128482238u,1,8,1,8.0
12289790500357955606u,1,18,2,18.0
12290309189214586089u,2,6,1,3.0
12290962960863462948u,2,15,4,7.5
12297132074014002423u,1,10,1,10.0
12298283763178279911u,5,11,2,2.2
12298716897352188554u,2,6,1,3.0
1229998198946050963u,1,14,1,14.0
12302111201309864724u,1,9,1,9.0
12302829128482768350u,1,7,2,7.0
12302866031418483575u,1,6,3,6.0
12303213656347224278u,1,6,1,6.0
1230426768003312411u,1,15,2,15.0
12304325029878407834u,2,17,3,8.5
1230477295905987834u,1,16,2,16.0
12306447231765988554u,1,12,2,12.0
12308628257888511230u,4,22,3,5.5
12309336650750225955u,3,13,1,4.333333333333333
12311864327096883118u,1,6,1,6.0
12312397838837004075u,2,12,3,6.0
12312544921564816612u,1,23,3,23.0
12313575057286343387u,2,7,1,3.5
12313847809647966334u,1,31,4,31.0
12316057500351096342u,1,7,1,7.0
12316379168505823646u,2,12,3,6.0
123171217127855840u,3,14,3,4.666666666666667
12317222469197399010u,8,18,4,2.25
12317324158995146785u,1,9,1,9.0
12317336592035654404u,7,7,1,1.0
12317645330115955888u,2,11,1,5.5
12318182656449726737u,5,7,1,1.4
12320115509950702602u,1,6,1,6.0
12320153152859177848u,1,8,1,8.0
12321301085541465254u,1,12,2,12.0
12322401633813738641u,1,6,1,6.0
12322486048753711714u,1,7,2,7.0
1232258175967800246u,1,8,4,8.0
1232397769529111391u,5,46,3,9.2
1232723051321693463u,2,12,3,6.0
12327728131778305959u,1,10,4,10.0
12327742681153435511u,1,7,3,7.0
12329743621273759767u,1,7,1,7.0
12329970297606990627u,1,32,2,32.0
12332090933307087566u,2,33,4,16.5
12333311001413966093u,1,14,3,14.0
12335509397355295448u,1,12,3,12.0
12335989706984535592u,2,10,1,5.0
12336692365849147332u,1,12,1,12.0
12339622547657410839u,10,10,1,1.0
12340935266596179112u,1,7,3,7.0
12341486581373335695u,5,12,3,2.4
12342134666671955880u,5,23,2,4.6
12342829026393534129u,1,7,1,7.0
12342936281760668253u,3,15,3,5.0
12343225689809746790u,1,7,1,7.0
123432859961181098u,1,6,2,6.0
12343760270269216658u,1,9,3,9.0
12344409731698269195u,1,7,2,7.0
12344445391250001165u,1,7,4,7.0
1234614962255493531u,4,11,2,2.75
1234938259674990284u,1,7,1,7.0
12350444592995071901u,1,10,1,10.0
1235049577731653053u,1,6,2,6.0
12351202576955601598u,5,18,1,3.6
12351461772143995932u,2,13,4,6.5
12352879869242993999u,4,16,4,4.0
12353694188694226829u,1,14,3,14.0
12358875359273341560u,1,9,3,9.0
12358905132865445328u,1,21,1,21.0
12363220898989480307u,1,7,2,7.0
12363790393512949115u,15,16,2,1.0666666666666667
12364146699677438321u,4,6,1,1.5
12364600647449717544u,2,18,4,9.0
12365588919354645304u,6,22,3,3.6666666666666665
12368253350950116082u,1,7,2,7.0
1236839065060887299u,1,14,2,14.0
12369327333386348683u,6,19,1,3.1666666666666665
1237074564912852399u,1,21,4,21.0
12370971203288561926u,1,7,3,7.0
12371244547776928785u,1,16,3,16.0
12371265234986832538u,10,11,1,1.1
12371338375717043416u,2,12,1,6.0
12371871794036746689u,19,21,1,1.105263157894737
12371917576826494118u,5,6,1,1.2
1237250410248226500u,1,8,1,8.0
12376396970520496325u,1,7,2,7.0
12379834061029681499u,6,7,1,1.1666666666666667
12380265835212612027u,1,9,2,9.0
12380893662560055740u,2,6,1,3.0
12381848051174318357u,1,9,2,9.0
12382835321357084575u,2,6,1,3.0
12383508104254174722u,1,7,1,7.0
12387646153312056616u,1,8,2,8.0
12388799583422240092u,1,7,2,7.0
12390817269340057742u,2,12,2,6.0
12392366965017397783u,1,7,1,7.0
12394130230686113392u,1,6,2,6.0
1239450160931314479u,1,15,3,15.0
12394527432762058116u,4,12,2,3.0
12396676768965777131u,5,14,1,2.8
12397401023510318525u,4,32,3,8.0
12397668262415472810u,1,7,2,7.0
12398718975492229716u,1,19,4,19.0
12399189111947667634u,2,8,1,4.0
12399210131822822763u,1,10,2,10.0
12399245263275300421u,5,6,1,1.2
12399713486113427209u,1,18,3,18.0
12399832677472703294u,1,12,2,12.0
12400587821729275230u,1,36,3,36.0
12403062572815704086u,1,8,2,8.0
12403085431561630015u,1,8,2,8.0
12409521971319587324u,2,20,3,10.0
12410871847330696967u,4,59,4,14.75
12411225379668947014u,1,8,1,8.0
12411244567574736792u,1,8,2,8.0
12411769574351523074u,1,51,1,51.0
12412754182443116582u,14,14,1,1.0
12413798486628407894u,1,19,2,19.0
12416267645641649966u,2,9,1,4.5
12418190512722905031u,1,12,2,12.0
12418855933032222023u,1,6,2,6.0
12420865731353747724u,1,9,2,9.0
12421722802945159513u,5,13,1,2.6
12422413157226438767u,2,6,1,3.0
12424981754010742436u,1,12,2,12.0
12426108589060750279u,2,13,3,6.5
12426417453192858769u,1,23,4,23.0
12426567355547382077u,1,6,2,6.0
12426572799184175180u,1,6,2,6.0
12431794802845197702u,1,7,2,7.0
12431968716911088124u,7,14,1,2.0
12432009907525547028u,2,19,1,9.5
12432229366346748458u,8,33,4,4.125
12433619301185218663u,1,7,1,7.0
12433984677359706856u,1,10,3,10.0
12435152231111328609u,1,6,1,6.0
12435154353016676297u,4,15,3,3.75
12435281255191477067u,1,11,2,11.0
12435666285340096780u,3,6,1,2.0
12435814560707681152u,1,8,2,8.0
1243598763941104571u,1,8,2,8.0
12443376788623420229u,4,13,2,3.25
12443389620604834160u,6,7,1,1.1666666666666667
12443801110021953967u,6,19,3,3.1666666666666665
12446798033572454162u,1,12,2,12.0
12447918931909709281u,1,8,2,8.0
12449030576096991533u,1,9,2,9.0
12449257346517390198u,3,11,2,3.6666666666666665
12451414718157698598u,1,7,3,7.0
12453612496030270035u,1,7,2,7.0
12454577685285798275u,1,8,3,8.0
12455431919362548739u,1,6,2,6.0
12462501006177757975u,1,6,1,6.0
12463219720723127739u,1,7,3,7.0
12463681834794402993u,1,8,2,8.0
12464178479791478639u,6,42,4,7.0
12464621857664123348u,1,9,1,9.0
12465511521166499130u,1,11,4,11.0
12473035362376745023u,1,9,4,9.0
12473089961667894916u,1,15,3,15.0
1247355864320085145u,3,13,3,4.333333333333333
12476383087048378424u,4,6,1,1.5
12477093479553223147u,4,6,1,1.5
12478140563959372364u,1,8,2,8.0
12481618916975595093u,3,11,2,3.6666666666666665
12481873445683918890u,1,6,1,6.0
1248426899293129987u,2,11,2,5.5
1248524663252323413u,2,12,2,6.0
12487113530320903607u,1,14,2,14.0
12487171899315171045u,1,7,2,7.0
12488873055328272598u,3,17,3,5.666666666666667
12489203464934005774u,3,13,2,4.333333333333333
12491174847269488031u,1,9,4,9.0
12492813536299106467u,1,8,3,8.0
12493510462919406258u,2,18,1,9.0
12494183321005796807u,4,8,1,2.0
12495161111132685238u,1,11,3,11.0
12496937813190150601u,1,6,1,6.0
12498459501024194522u,1,7,4,7.0
12498482903328670238u,1,16,2,16.0
1250039908772688965u,2,7,1,3.5
12502346493449226191u,2,6,1,3.0
12503564074573137387u,1,10,1,10.0
12503785624856577961u,5,6,1,1.2
12504394577600168113u,2,14,2,7.0
1250571653185718631u,4,15,2,3.75
12506894572798735444u,7,14,2,2.0
12506902478389985319u,1,6,2,6.0
12509352454594949693u,3,7,1,2.3333333333333335
1251217551415322108u,3,7,1,2.3333333333333335
12513427887897068628u,1,6,1,6.0
12515234707153316893u,2,11,1,5.5
12516340698937636747u,1,6,2,6.0
12516354219544213215u,2,25,2,12.5
12517115697956959313u,1,7,2,7.0
12517584061495378032u,2,12,2,6.0
12517584348450594514u,1,9,1,9.0
12518016917567368399u,1,7,2,7.0
12518684633135153998u,2,15,2,7.5
12520179460467065762u,2,44,3,22.0
12520600584132725507u,1,9,2,9.0
1252187577970809854u,1,7,2,7.0
12521904732756917095u,2,24,2,12.0
12522969312555846943u,1,11,3,11.0
12523535941670153013u,15,15,1,1.0
12523647101753131233u,1,7,1,7.0
12525435175904945367u,1,10,2,10.0
12526160406742719819u,1,6,3,6.0
12526177235576855963u,1,9,4,9.0
12527366147567786802u,1,7,3,7.0
12527742029025276655u,2,12,3,6.0
1252857936122416481u,1,8,1,8.0
12529447367894953291u,1,8,1,8.0
12530807646007645134u,3,17,4,5.666666666666667
12532416692516832322u,1,7,1,7.0
12532751640614873009u,1,7,2,7.0
12534074008954160667u,1,11,2,11.0
12534363377100090975u,16,16,1,1.0
12537374771322651316u,6,17,1,2.8333333333333335
12540410745021001366u,1,6,3,6.0
12542986761872009038u,6,14,4,2.3333333333333335
12543430746390595149u,1,11,2,11.0
12543714162751328860u,1,9,2,9.0
12544787412490290610u,2,8,1,4.0
12545035504808828061u,1,16,4,16.0
12545154690063865184u,2,6,1,3.0
12545490371174586106u,2,7,1,3.5
12545492169563391381u,8,8,1,1.0
12545856296165397920u,3,32,3,10.666666666666666
12546007087888686848u,1,9,2,9.0
12546422524619009805u,1,8,1,8.0
12546935462019281480u,1,7,1,7.0
12550156485841169776u,1,7,3,7.0
12550364095544332242u,7,12,1,1.7142857142857142
12551360639197948102u,1,6,1,6.0
12551503486777923919u,1,15,3,15.0
12552311155018037945u,1,17,1,17.0
12552718912830200388u,1,16,2,16.0
12556462376388029716u,1,12,3,12.0
12557204541622523387u,1,21,4,21.0
12558465331087471409u,1,6,2,6.0
12558625826904300028u,2,17,3,8.5
12560710271946820622u,1,32,3,32.0
12560854403155100062u,1,6,2,6.0
12562112267352229895u,1,9,2,9.0
12564638320145910267u,8,8,1,1.0
12566031417499427230u,1,7,1,7.0
1256799581466829427u,1,7,3,7.0
12572019105217586528u,2,7,1,3.5
12572354263008736948u,1,17,3,17.0
12572422918735025093u,1,8,2,8.0
12573202005293821492u,1,6,1,6.0
12573447731755484446u,1,7,4,7.0
12574001192512382197u,1,6,1,6.0
12574114465897101933u,1,13,2,13.0
12574230363454523883u,1,7,1,7.0
1257736612211951465u,1,8,2,8.0
12578238346709265872u,1,17,4,17.0
12578265765309939394u,5,6,1,1.2
12578878179542080948u,3,6,1,2.0
12578998044462849849u,1,6,2,6.0
12580007741273331869u,1,15,2,15.0
12580208696851261284u,1,19,2,19.0
12581189841230280317u,1,7,1,7.0
125821325004145111u,10,40,4,4.0
12583082416900382442u,1,8,2,8.0
12583513336167017079u,1,17,2,17.0
12584690961087378492u,1,15,2,15.0
12585039774854875476u,1,13,2,13.0
12585588679780671059u,1,17,2,17.0
12585626489310045048u,1,18,1,18.0
1258604206136296982u,1,16,1,16.0
12587124543412011061u,1,8,2,8.0
12588284336662093925u,1,8,2,8.0
12589700008831523641u,1,12,2,12.0
12589967065572222300u,1,6,2,6.0
12591519751837478842u,3,12,2,4.0
12593133260675804793u,2,19,2,9.5
12593809208704147804u,8,9,1,1.125
12594800609621136167u,2,11,2,5.5
12595676109430184053u,1,6,3,6.0
12596420603331507520u,1,10,1,10.0
12596855629182127409u,1,7,3,7.0
12597026673508684694u,2,6,1,3.0
12597965406788659825u,1,6,1,6.0
125991050965656839u,1,6,3,6.0
12599295854495542373u,1,6,2,6.0
12599455610090425049u,1,11,3,11.0
12599875326396017670u,3,8,1,2.6666666666666665
12600192241834827556u,2,6,1,3.0
12600792517179465339u,3,21,3,7.0
12603035320634532900u,1,10,3,10.0
12603617930014052433u,5,32,2,6.4
12604224397205205688u,1,7,3,7.0
12604289595293148257u,7,7,1,1.0
12604370101339698990u,1,7,1,7.0
12605135802088319904u,1,6,3,6.0
12605968301802088092u,1,10,4,10.0
12606692933903486012u,1,7,3,7.0
1260811396141966660u,1,6,3,6.0
1260820764729798854u,6,7,1,1.1666666666666667
1260983176333219780u,1,6,1,6.0
12610111995652972068u,1,7,3,7.0
12611192678138445616u,1,6,3,6.0
12611258217290123153u,1,7,1,7.0
12611503716014009327u,1,9,1,9.0
12611564939681621439u,1,7,2,7.0
12611626730382273991u,1,18,3,18.0
12612653206290781433u,1,11,2,11.0
12612941490496477653u,1,9,2,9.0
12612988580828485424u,3,15,3,5.0
12613091138091591201u,2,14,4,7.0
12614918616472777782u,2,6,1,3.0
12616642242432806692u,1,7,2,7.0
12617481369194125908u,6,29,2,4.833333333333333
12619916777822528304u,1,10,3,10.0
12619957590556827434u,1,10,3,10.0
1262113048337611210u,3,16,1,5.333333333333333
1262139994077351463u,1,8,2,8.0
12622343159238848391u,1,7,1,7.0
12622393452960491779u,1,8,2,8.0
12624704770039189606u,10,10,1,1.0
12625962176781963545u,2,20,3,10.0
12626681049169403420u,1,9,1,9.0
12627168166967970957u,1,6,2,6.0
1262726449212961067u,4,19,3,4.75
12628412971117706232u,3,11,1,3.6666666666666665
12628651351718910989u,1,7,2,7.0
12629355474741784166u,6,48,3,8.0
12630461880800585724u,1,6,4,6.0
12632514178859617719u,1,13,2,13.0
12632545953362991166u,1,30,2,30.0
1263295508118969296u,7,26,3,3.7142857142857144
12633067303352640835u,1,23,2,23.0
12634236510204389613u,1,6,2,6.0
12634308159921465201u,1,6,2,6.0
12634738740763486701u,1,8,2,8.0
12635039480471550859u,1,10,1,10.0
12635101203037967802u,1,23,2,23.0
12639400383381665737u,1,22,2,22.0
12640327669742132419u,3,7,1,2.3333333333333335
12641651199421806630u,1,10,1,10.0
12641726245988527925u,1,6,2,6.0
12642078508004350637u,1,7,1,7.0
12643791738530502192u,2,12,3,6.0
12644082898335057088u,1,16,2,16.0
12644431081619572693u,1,27,3,27.0
12644671336368688130u,1,7,3,7.0
12645265213782692386u,1,6,2,6.0
12645288493255417396u,5,34,3,6.8
12645294765799930514u,10,22,2,2.2
12645457106926594594u,1,7,2,7.0
12646436200242709024u,1,7,1,7.0
12646781042819030797u,2,17,2,8.5
12647635218622533767u,4,6,1,1.5
12647652588414112144u,2,12,1,6.0
12650705452128890409u,1,16,4,16.0
12652350951424143977u,2,12,4,6.0
12652715852215737591u,1,10,2,10.0
12652796220562063007u,2,19,2,9.5
12656698906203830856u,1,24,3,24.0
12656742364039563181u,1,10,2,10.0
12658302795421420358u,10,12,1,1.2
1265837333997491387u,1,9,4,9.0
1266053583723073967u,1,8,3,8.0
12661477188652222445u,1,8,3,8.0
12661718625765959248u,1,19,4,19.0
12664806793471665134u,2,6,1,3.0
1266588113644492490u,2,12,3,6.0
12666151140261499248u,4,8,1,2.0
12666669142823181705u,3,6,1,2.0
12666785138944196128u,2,8,1,4.0
12668682906040951342u,1,8,3,8.0
12668787759574386112u,1,6,1,6.0
12669637751794067812u,1,9,2,9.0
12670941265916534727u,1,15,3,15.0
12672094040566726709u,1,8,2,8.0
12672240262753920569u,1,11,2,11.0
12673216642288008932u,2,12,1,6.0
12673366745861804537u,1,9,2,9.0
12673646629868852646u,3,6,1,2.0
12676970209708197811u,2,7,1,3.5
12677371172062287301u,1,6,2,6.0
12678354904013384273u,3,12,3,4.0
12679138236582396972u,2,6,1,3.0
12680794305089016196u,3,6,1,2.0
12680833792380559246u,5,17,3,3.4
12681099764259457345u,4,16,3,4.0
12681357343332645367u,3,13,1,4.333333333333333
12682044899069694301u,2,7,1,3.5
12683878285388885706u,1,15,3,15.0
12684457168604427517u,1,11,4,11.0
12685499173078346430u,1,6,2,6.0
12685863453210092632u,1,6,2,6.0
12686951514623393355u,6,6,1,1.0
12687008518642804649u,1,11,3,11.0
12687879863323928764u,2,9,1,4.5
12688860004752937154u,1,6,1,6.0
1269037578301225587u,2,6,1,3.0
12691005644111428442u,16,79,4,4.9375
12693664194062335292u,1,6,2,6.0
12695975958162402045u,2,12,3,6.0
12698884875320836977u,1,9,2,9.0
12699144251101840890u,1,6,3,6.0
12699401953537412685u,2,12,1,6.0
12701869175019225219u,1,6,2,6.0
12702186729746556839u,5,6,1,1.2
12702422140850955143u,3,18,3,6.0
12702629322012632100u,1,6,3,6.0
1270532792517255693u,1,6,2,6.0
12707449879556682294u,2,19,3,9.5
12710065660379308588u,5,13,2,2.6
1271166727082278043u,2,6,1,3.0
1271204344678404798u,1,9,3,9.0
12714619609798953623u,7,42,3,6.0
12717717061960184369u,1,6,1,6.0
12719793083705325707u,1,8,3,8.0
12719988369056198754u,1,8,2,8.0
12721192685676702053u,1,6,2,6.0
12721709798047314424u,1,8,2,8.0
12721747454908656336u,10,19,3,1.9
12721794780467961951u,1,16,4,16.0
12721955662498944916u,3,13,3,4.333333333333333
12722171030983049921u,1,12,2,12.0
12723419647659930767u,7,7,1,1.0
12726587191552830774u,1,8,1,8.0
12727697934397674393u,1,9,3,9.0
12727857839810701408u,1,7,2,7.0
12728168828253025131u,1,6,1,6.0
12728895417011376313u,5,6,1,1.2
12730926979604553577u,2,6,1,3.0
12732567112952384308u,1,7,3,7.0
12734500543202918374u,1,6,2,6.0
12734962039964987356u,1,8,1,8.0
12735180943718882809u,1,6,2,6.0
12735320278125757428u,3,21,3,7.0
12736517876378320447u,1,14,3,14.0
1273828028568843119u,1,6,2,6.0
12738298731120087713u,1,15,2,15.0
12739377523017870001u,3,7,1,2.3333333333333335
12741033439245984324u,1,6,2,6.0
1274213296700172243u,4,15,2,3.75
12744074664906788707u,3,6,1,2.0
12744300599275930878u,1,17,2,17.0
12744968090721739803u,1,12,2,12.0
12745012793394620226u,1,6,1,6.0
12745630681567874218u,2,11,1,5.5
12746958879178095918u,5,10,1,2.0
12747716035063541378u,7,8,1,1.1428571428571428
12748963142596030954u,1,7,3,7.0
12749341156541325057u,1,8,3,8.0
12749408995537028825u,7,37,3,5.285714285714286
12749534495482562537u,1,9,3,9.0
12749798699977355053u,1,8,4,8.0
12750492803725263701u,3,9,1,3.0
12751241020810822873u,1,16,2,16.0
12751864469786610933u,2,15,4,7.5
12751918390443244897u,1,7,1,7.0
12754865886541179551u,5,8,1,1.6
1275590248336403158u,5,6,1,1.2
12756354700383591101u,3,6,1,2.0
1275662245496988315u,2,6,1,3.0
12758496463753922809u,1,9,2,9.0
12758953407270815651u,6,6,1,1.0
12761281306392020915u,1,9,2,9.0
12761716537965073691u,2,7,1,3.5
12761759959249313138u,1,6,3,6.0
12765196387321452560u,1,7,4,7.0
12766841742259783722u,2,14,3,7.0
12767317978949991522u,4,13,2,3.25
12767346681444904286u,1,10,1,10.0
12767789573416696645u,1,8,1,8.0
1276828207808740468u,2,13,3,6.5
12768364742283188866u,1,8,2,8.0
127695025270243435u,1,6,2,6.0
12770014211156987972u,6,12,2,2.0
12770575543782697353u,3,7,1,2.3333333333333335
12771342981978685707u,1,7,2,7.0
12771797915035115438u,6,6,1,1.0
12772227724994694485u,3,8,1,2.6666666666666665
12774060750649940566u,3,14,3,4.666666666666667
12774409795411797969u,2,12,4,6.0
12774494685355221074u,2,12,3,6.0
12774500473250425588u,1,8,1,8.0
12776540867547659832u,1,10,2,10.0
12777790776279281680u,3,6,1,2.0
12778915528312573446u,2,12,3,6.0
12780080022121026632u,3,10,1,3.3333333333333335
12781189267194224011u,1,7,1,7.0
1278249951493483711u,14,17,1,1.2142857142857142
12784494703720644568u,1,8,3,8.0
12784588141443452379u,1,8,2,8.0
1278541673085358789u,1,6,2,6.0
12785879945422662815u,5,13,4,2.6
12787897623307703433u,2,12,2,6.0
1278796762274710317u,6,6,1,1.0
12788544633077602977u,20,103,2,5.15
1279057265539059228u,6,9,1,1.5
12790765514876737059u,3,19,3,6.333333333333333
1279181980539238695u,1,7,2,7.0
1279228736670117820u,1,14,2,14.0
12792562897296993521u,1,16,2,16.0
12792633308254962215u,1,6,2,6.0
12793316403626144596u,4,16,2,4.0
12796463963704164098u,1,17,1,17.0
12798386558568387822u,1,8,1,8.0
12798881637755169170u,6,11,2,1.8333333333333333
12801377288869167202u,1,7,3,7.0
12801805205040362528u,1,6,1,6.0
12803921244021292723u,1,9,2,9.0
12804501231952041096u,4,6,1,1.5
12805232171123629910u,1,18,2,18.0
1280670782704095337u,2,15,1,7.5
12807438607405330750u,2,6,1,3.0
12812328840136682181u,1,7,3,7.0
12817558079560508546u,5,31,4,6.2
1281790995051705700u,1,6,2,6.0
12818988504219781291u,1,6,2,6.0
12819907396645898799u,5,23,3,4.6
12820160698733995083u,3,15,2,5.0
12823274818520776162u,6,6,1,1.0
12823576147310013728u,1,10,2,10.0
12824741203297587810u,3,15,4,5.0
12825583670455861378u,1,7,2,7.0
12825945375263076885u,1,22,2,22.0
12826093626298123781u,1,8,3,8.0
12826137117235680339u,1,6,3,6.0
12826417081880520980u,1,14,3,14.0
12826654230639925364u,7,7,1,1.0
12827769170060896089u,1,14,2,14.0
12829392317267671618u,1,8,1,8.0
12831866316939321781u,1,6,2,6.0
12832371210385600155u,1,10,3,10.0
12832953191936064281u,1,20,3,20.0
12832978737540654790u,1,9,1,9.0
12834077007658049525u,24,25,1,1.0416666666666667
12835227944274112903u,3,40,4,13.333333333333334
12838022749046728565u,1,10,3,10.0
12838029842357136795u,1,10,1,10.0
1283914366846233048u,1,6,1,6.0
12839332759298317157u,2,12,3,6.0
12839501723187188876u,1,31,3,31.0
12840167366568621356u,1,10,3,10.0
12841913200196192620u,1,7,2,7.0
12842714513317668519u,1,7,2,7.0
12844151054013813147u,4,79,3,19.75
1284553176749199803u,1,7,1,7.0
12845716813827043582u,1,8,3,8.0
12847379153425317079u,1,13,3,13.0
12848248067304171697u,2,13,1,6.5
12849181989604457768u,1,15,1,15.0
12849790340295930723u,1,11,2,11.0
12849892221335216126u,2,6,1,3.0
12850764531721755150u,1,10,2,10.0
12852050852117944173u,1,15,3,15.0
12852218616788831373u,1,10,2,10.0
12852862231293164939u,2,6,1,3.0
12853093158473749579u,3,45,3,15.0
1285601754419869176u,1,6,1,6.0
12856610517916578324u,2,16,3,8.0
12856814270328598149u,1,12,2,12.0
12857578161780765733u,1,8,2,8.0
12858073522103976049u,1,9,3,9.0
12859199199236341255u,1,7,2,7.0
12859364968108485467u,1,13,4,13.0
12860690412511172258u,5,17,1,3.4
12860863622701298566u,2,22,2,11.0
12862121859328589679u,3,6,1,2.0
12862872630745048947u,1,9,3,9.0
12862877309809156179u,8,8,1,1.0
1286622272303602643u,2,32,2,16.0
12867543037857943710u,1,8,2,8.0
12867881638041534797u,1,9,2,9.0
12868066041077694111u,2,27,4,13.5
