user,session_count,total_events,unique_page_types,events_per_session
10238276372101418475u,12,34,3,2.8333333333333335
10238398730094057587u,1,8,3,8.0
10241990355401999787u,3,12,1,4.0
10242435397077828217u,1,8,3,8.0
10242947698898134160u,1,7,2,7.0
10243506814411818405u,2,20,1,10.0
10246672071999320430u,8,9,1,1.125
10247131108789555254u,1,11,1,11.0
10247578640281189390u,2,11,2,5.5
10247863653795589920u,1,22,3,22.0
10247999352009452548u,1,6,3,6.0
10248301476440543862u,1,19,2,19.0
10248697411266026748u,21,21,1,1.0
10248906063859992098u,1,9,1,9.0
10251439281378875729u,1,9,3,9.0
10252366172274461385u,1,9,2,9.0
10254179429777523163u,1,30,3,30.0
10254326187946464727u,2,13,2,6.5
10254656130193786223u,4,19,4,4.75
10255312477828377451u,1,19,2,19.0
10255426833745840918u,1,8,3,8.0
10256176158195715934u,4,44,3,11.0
1025700149009928311u,1,8,2,8.0
10257134446426381510u,10,21,4,2.1
10257146078701994487u,6,18,3,3.0
1025731872042836823u,4,6,1,1.5
1025845805001088233u,1,11,2,11.0
10258752047627365686u,11,51,3,4.636363636363637
10258929916168272397u,1,7,3,7.0
10258966747357436324u,1,9,2,9.0
10262626639720644191u,1,10,2,10.0
10263001886415810817u,5,14,1,2.8
10263721344692418403u,1,9,2,9.0
10263816630438236056u,1,6,1,6.0
10264639586993082190u,1,15,3,15.0
10265504765238697345u,1,9,3,9.0
10265678981156916971u,1,15,2,15.0
10267875335581158309u,1,16,2,16.0
10267951820050284840u,1,6,2,6.0
10268155142867123877u,1,9,2,9.0
10268172127081858371u,2,12,3,6.0
10269703778923418894u,6,6,1,1.0
10271127101747479646u,1,10,2,10.0
10272462546886076736u,1,9,2,9.0
10272498887664493661u,1,19,3,19.0
10272670614127024568u,1,6,1,6.0
10276561198825466237u,2,30,3,15.0
10276634418716615558u,1,7,2,7.0
10277053767581130599u,7,7,1,1.0
10277208740532447038u,9,13,2,1.4444444444444444
10277538945814455296u,1,15,2,15.0
10277649116876726586u,1,6,3,6.0
10277659760811010693u,2,7,1,3.5
10278427960955242557u,1,15,2,15.0
10278895525048215427u,3,10,1,3.3333333333333335
10279966787837178403u,3,7,1,2.3333333333333335
10281431962702427459u,1,11,4,11.0
10284258600559348578u,3,23,3,7.666666666666667
10286970430817049666u,2,18,3,9.0
10287480543494606044u,4,7,1,1.75
10288536113917097785u,1,8,1,8.0
10288705626940626661u,4,55,2,13.75
10289329373253749118u,3,17,3,5.666666666666667
10289635345359745921u,1,7,2,7.0
10293010900113980671u,2,11,1,5.5
10293502620447998835u,1,7,2,7.0
10293843193926684252u,1,8,2,8.0
10295577644619674372u,1,7,1,7.0
10298160613989568541u,2,6,1,3.0
10298804512682023062u,4,53,4,13.25
10299829272989417943u,1,18,3,18.0
10301794581442455232u,3,6,1,2.0
10302035785381517475u,9,9,1,1.0
10305118909459869420u,1,12,3,12.0
10305213236359770097u,7,50,4,7.142857142857143
1030581795492704285u,1,7,1,7.0
1030586896155861190u,1,7,1,7.0
1030755653694367628u,1,6,2,6.0
10307627871286452610u,1,7,1,7.0
